acc.date,aircraft_type,operator,fatalities,damage,year
2021-06-21,Rockwell Sabreliner 65,Private,0,Written Off,2021
2021-06-23,Gulfstream G280,Ineos Aviation,0,Substantial,2021
2021-06-23,Lockheed L-100-30 Hercules,Ethiopian Air Force,0,Written Off,2021
2021-06-24,Antonov An-2R,Private,0,Substantial,2021
2021-06-25,Airbus A321-231,American Airlines,0,None,2021
2021-06-25,Shorts 360-300,Air Cargo Carriers,0,Substantial,2021
2021-06-25,Cessna 208B Supervan 900,Skydive Teuge,0,Substantial,2021
2021-06-29,Airbus A350-941,Air France,0,None,2021
2021-07-01,Convair Cv-580 Airtanker,Conair,0,Substantial,2021
2021-07-01,Convair Cv-580 Airtanker,Conair,0,Minor,2021
2021-07-02,Boeing 737-275C Adv.,Transair (Cargo),0,Written Off,2021
2021-07-02,Cessna 750 Citation X,Hellenic Caa,0,Substantial,2021
2021-07-04,Airbus A321-231,American Airlines,0,None,2021
2021-07-04,Antonov An-2R,Elisa,0,Substantial,2021
2021-07-04,Lockheed C-130H Hercules,Hukbong Himpapawid Ng Pilipinas (Philippine Air Force),0,Written Off,2021
2021-07-05,Iai 1124A Westwind Ii,Transenergie Inc,2,Written Off,2021
2021-07-06,Atr 42-320,Transwest Air,0,None,2021
2021-07-06,Antonov An-26B-100,Kamchatka Aviation Enterprise,28,Written Off,2021
2021-07-07,Cessna 208B Grand Caravan,Ryan Air,0,None,2021
2021-07-08,Douglas Dc-3C,Aliansa Colombia,3,Written Off,2021
2021-07-11,Airbus A320-214,Condor Flugdienst,0,Substantial,2021
2021-07-11,De Havilland Canada Dhc-3T Vazar Turbine Otter,Northwestern Air,0,Substantial,2021
2021-07-11,Cessna 208 Caravan I,Air Tunilik,0,Substantial,2021
2021-07-14,Cessna 208B Grand Caravan Ex,Jags Aviation,0,Substantial,2021
2021-07-15,De Havilland Canada Dhc-3T Vazar Turbine Otter,Harbour Air,0,Substantial,2021
2021-07-15,Cessna 208 Caravan I,Seair Seaplanes,0,Substantial,2021
2021-07-16,Antonov An-28,Sila - Siberian Light Aviation,0,Substantial,2021
2021-07-17,Cessna 208B Supervan 900,Goskydive,0,Substantial,2021
2021-07-18,Atr 72-500 (72-212A),"Air Europa Express, Opb Aeronova",0,Substantial,2021
2021-07-20,British Aerospace Bae-125-700A,Private,0,Written Off,2021
2021-07-21,Cessna 560Xl Citation Excel,Pv Transport Inc,0,Substantial,2021
